gene,pval
mRNA.MSTRG.1729.1,4.90387133
mRNA.MSTRG.1741.1,3.218070421
mRNA.MSTRG.1744.1,4.684372067
mRNA.MSTRG.1764.1,2.630834299
mRNA.MSTRG.1773.1,2.256829708
mRNA.MSTRG.1787.1,2.339794844
mRNA.MSTRG.1788.1,3.698514292
mRNA.MSTRG.1790.1,4.877231931
mRNA.MSTRG.1811.1,4.551457386
mRNA.MSTRG.1830.1,1.331410804
mRNA.MSTRG.1852.2,2.864594238
mRNA.MSTRG.1852.3,3.134438283
mRNA.MSTRG.1855.1,4.198283263
mRNA.MSTRG.1856.1,3.343972736
mRNA.MSTRG.1877.1,3.903313677
mRNA.MSTRG.1882.1,4.346078293
mRNA.MSTRG.1885.1,1.623959668
mRNA.MSTRG.1903.1,7.312386519
mRNA.MSTRG.1907.1,4.058316078
mRNA.MSTRG.1915.4,3.903313709
mRNA.MSTRG.1917.1,4.931724595
mRNA.MSTRG.1964.2,3.021092861
mRNA.MSTRG.1964.1,3.089642199
mRNA.MSTRG.1962.1,1.867029693
mRNA.MSTRG.1973.1,5.243182847
mRNA.MSTRG.1983.1,1.485121665
mRNA.MSTRG.1991.1,4.111379504
mRNA.MSTRG.1991.2,4.942299601
mRNA.MSTRG.1994.1,4.619444845
mRNA.MSTRG.2015.1,1.867095047
mRNA.MSTRG.2027.1,4.90473136
mRNA.MSTRG.2027.2,2.56335228
mRNA.MSTRG.2029.1,2.256866185
mRNA.MSTRG.2070.2,5.177038307
mRNA.MSTRG.2072.1,6.371478815
mRNA.MSTRG.2072.2,3.640855592
mRNA.MSTRG.2076.1,5.154316669
mRNA.MSTRG.2079.1,5.884875362
mRNA.MSTRG.2094.1,5.792165817
mRNA.MSTRG.2110.3,3.03103529
mRNA.MSTRG.2134.1,2.339801868
mRNA.MSTRG.2215.2,3.496387865
mRNA.MSTRG.2230.1,3.459761772
mRNA.MSTRG.2231.1,2.980185626
mRNA.MSTRG.2239.1,4.050841636
mRNA.MSTRG.2251.1,2.630855107
mRNA.MSTRG.2252.1,1.97482296
mRNA.MSTRG.2259.1,2.756923773
mRNA.MSTRG.2262.1,2.872904353
mRNA.MSTRG.2278.1,3.729602064
mRNA.MSTRG.2311.1,3.634230134
mRNA.MSTRG.2314.1,4.325849625
mRNA.MSTRG.2316.1,2.87292759
mRNA.MSTRG.2324.1,1.867047334
mRNA.MSTRG.2334.1,1.974791454
mRNA.MSTRG.2345.1,3.383612472
mRNA.MSTRG.2349.2,7.143689044
mRNA.MSTRG.2361.2,5.74729284
mRNA.MSTRG.2379.1,2.695245126
mRNA.MSTRG.2383.1,2.980206312
mRNA.MSTRG.2386.1,1.974793257
mRNA.MSTRG.2389.1,3.819087964
mRNA.MSTRG.2390.1,2.563367782
mRNA.MSTRG.2405.1,1.974812759
mRNA.MSTRG.2412.2,1.867042629
mRNA.MSTRG.2457.1,3.634244396
mRNA.MSTRG.2468.1,6.352624169
mRNA.MSTRG.2470.1,2.695267109
mRNA.MSTRG.2489.1,1.331374683
mRNA.MSTRG.2505.1,4.945019372
mRNA.MSTRG.2510.1,0.737957273
mRNA.MSTRG.2528.1,2.695259887
mRNA.MSTRG.2522.1,4.424165084
mRNA.MSTRG.2533.1,5.517114048
mRNA.MSTRG.2531.1,4.731235707
mRNA.MSTRG.2545.1,2.339785386
mRNA.MSTRG.2553.1,6.857342767
mRNA.MSTRG.2569.1,5.034914029
mRNA.MSTRG.2579.1,4.385649097
mRNA.MSTRG.2582.1,6.959245864
mRNA.MSTRG.2585.1,2.927546351
mRNA.MSTRG.2592.1,1.974833733
mRNA.MSTRG.2616.1,0.963990214
mRNA.MSTRG.2621.1,2.756928882
mRNA.MSTRG.2638.1,1.867085261
mRNA.MSTRG.2644.1,3.031065579
mRNA.MSTRG.2674.1,3.383612625
mRNA.MSTRG.2675.1,1.750617806
mRNA.MSTRG.2688.1,5.991345491
mRNA.MSTRG.2689.1,4.325880734
mRNA.MSTRG.2706.1,5.693080802
mRNA.MSTRG.2717.1,4.082612348
mRNA.MSTRG.2719.3,4.943468348
mRNA.MSTRG.2743.2,7.360367456
mRNA.MSTRG.2758.1,-0.287718583
mRNA.MSTRG.2770.1,5.434633985
mRNA.MSTRG.2769.1,4.551449983
mRNA.MSTRG.2772.1,1.623970214
mRNA.MSTRG.2777.1,1.867074352
mRNA.MSTRG.2785.1,4.715757001
mRNA.MSTRG.2795.2,2.394425893
mRNA.MSTRG.2795.1,4.332143369
mRNA.MSTRG.2796.2,1.485614979
mRNA.MSTRG.2823.1,3.930341633
mRNA.MSTRG.2828.1,3.21803365
mRNA.MSTRG.2813.1,0.140208925
mRNA.MSTRG.2844.1,2.98020632
mRNA.MSTRG.2861.1,7.191964057
mRNA.MSTRG.2865.1,3.818402817
mRNA.MSTRG.2871.1,5.210537197
mRNA.MSTRG.2885.1,4.619452508
mRNA.MSTRG.2886.1,3.666740317
mRNA.MSTRG.2901.1,1.867077659
mRNA.MSTRG.2903.1,5.107734058
mRNA.MSTRG.2912.1,3.26130187
mRNA.MSTRG.2921.2,3.218067021
mRNA.MSTRG.2944.1,0.737959277
mRNA.MSTRG.2946.5,4.715755547
mRNA.MSTRG.2967.1,1.826823186
mRNA.MSTRG.2954.1,2.075090898
mRNA.MSTRG.2960.1,3.261269823
mRNA.MSTRG.2979.1,2.816102217
mRNA.MSTRG.2995.1,1.159353781
mRNA.MSTRG.3025.1,1.974807815
mRNA.MSTRG.3056.1,5.034914988
mRNA.MSTRG.3066.1,3.789817314
mRNA.MSTRG.3082.1,5.724320085
mRNA.MSTRG.3094.1,1.750630642
mRNA.MSTRG.3104.1,1.331391176
mRNA.MSTRG.3160.1,6.137626387
mRNA.MSTRG.3167.1,2.168817817
mRNA.MSTRG.3178.1,4.904731443
mRNA.MSTRG.3194.1,5.732028153
mRNA.MSTRG.3209.1,2.630828764
mRNA.MSTRG.3217.1,3.634244523
mRNA.MSTRG.3225.2,4.100916792
mRNA.MSTRG.3225.3,2.102052856
mRNA.MSTRG.3226.1,3.422204501
mRNA.MSTRG.3227.1,3.127608987
mRNA.MSTRG.3228.1,1.331376596
mRNA.MSTRG.3241.1,1.750600565
mRNA.MSTRG.3243.1,2.339771568
mRNA.MSTRG.3244.1,4.106502578
mRNA.MSTRG.3248.1,4.284564236
mRNA.MSTRG.3262.1,2.418258083
mRNA.MSTRG.3273.2,3.493885947
mRNA.MSTRG.3277.1,3.460296723
mRNA.MSTRG.3283.1,2.932570732
mRNA.MSTRG.3283.3,1.146470954
mRNA.MSTRG.3283.4,1.942682221
mRNA.MSTRG.3292.2,4.56875624
mRNA.MSTRG.3296.2,4.602744824
mRNA.MSTRG.3299.1,2.63080692
mRNA.MSTRG.3325.1,3.303210516
mRNA.MSTRG.3333.1,6.047948013
mRNA.MSTRG.3341.1,3.080071393
mRNA.MSTRG.3353.3,3.080107021
mRNA.MSTRG.3355.1,3.218060228
mRNA.MSTRG.3383.1,3.729612968
mRNA.MSTRG.3371.1,2.630836875
mRNA.MSTRG.3385.2,2.339783232
mRNA.MSTRG.3392.3,5.821327483
mRNA.MSTRG.3405.1,0.963952992
mRNA.MSTRG.3406.1,0.737962581
mRNA.MSTRG.3410.1,4.30535185
mRNA.MSTRG.3414.1,3.600998067
mRNA.MSTRG.3417.1,4.516223506
mRNA.MSTRG.3447.1,3.760035089
mRNA.MSTRG.3498.1,4.89100655
mRNA.MSTRG.3505.1,2.756890982
mRNA.MSTRG.3529.1,4.863267993
mRNA.MSTRG.3544.1,2.980246878
mRNA.MSTRG.3549.1,3.228414929
mRNA.MSTRG.3568.1,7.587397472
mRNA.MSTRG.3582.1,1.485037821
mRNA.MSTRG.3588.1,3.847723649
mRNA.MSTRG.3603.1,4.984288357
mRNA.MSTRG.3610.1,4.516229988
mRNA.MSTRG.3613.1,5.188287356
mRNA.MSTRG.3644.1,3.03105575
mRNA.MSTRG.3648.1,3.7296198
mRNA.MSTRG.3650.1,3.496363743
mRNA.MSTRG.3688.1,2.816056165
mRNA.MSTRG.3689.1,1.623962392
mRNA.MSTRG.3690.1,3.601006396
mRNA.MSTRG.3692.1,2.927522067
mRNA.MSTRG.3745.1,1.191533919
mRNA.MSTRG.3745.2,1.600182894
mRNA.MSTRG.3759.1,0.963982908
mRNA.MSTRG.3771.1,3.532117502
mRNA.MSTRG.3796.1,2.418215141
mRNA.MSTRG.3804.1,4.77658354
mRNA.MSTRG.3805.1,1.623961689
mRNA.MSTRG.3816.1,4.834915885
mRNA.MSTRG.3827.1,4.997042955
mRNA.MSTRG.3823.1,3.789871448
mRNA.MSTRG.3844.1,3.031056223
mRNA.MSTRG.3848.1,1.15931589
mRNA.MSTRG.3854.1,4.776569692
mRNA.MSTRG.3855.1,6.846763667
mRNA.MSTRG.3886.1,3.57003107
mRNA.MSTRG.3895.1,3.127572608
mRNA.MSTRG.3896.1,4.263481695
mRNA.MSTRG.3909.1,3.666738555
mRNA.MSTRG.3910.1,5.754882097
mRNA.MSTRG.3917.2,2.927566798
mRNA.MSTRG.3929.1,3.291815284
mRNA.MSTRG.3942.1,3.78989211
mRNA.MSTRG.3940.1,2.339809722
mRNA.MSTRG.3944.1,1.86703575
mRNA.MSTRG.3950.1,5.76985081
mRNA.MSTRG.3951.1,3.982884915
mRNA.MSTRG.3957.1,3.303206984
mRNA.MSTRG.4012.4,2.630825962
mRNA.MSTRG.4025.1,3.383618989
mRNA.MSTRG.4043.1,1.623961689
mRNA.MSTRG.4051.2,2.563367782
mRNA.MSTRG.4059.1,4.443063709
mRNA.MSTRG.4079.1,3.634251872
mRNA.MSTRG.4090.1,2.563398115
mRNA.MSTRG.4117.1,2.816068379
mRNA.MSTRG.4118.1,5.04730889
mRNA.MSTRG.4166.1,7.425893031
mRNA.MSTRG.4168.1,2.756899554
mRNA.MSTRG.4175.1,1.623941896
mRNA.MSTRG.4199.3,5.296078999
mRNA.MSTRG.4216.1,0.469825452
mRNA.MSTRG.4228.1,2.256838201
mRNA.MSTRG.4239.1,2.695262426
mRNA.MSTRG.4243.1,5.415635361
mRNA.MSTRG.4249.1,3.261273516
mRNA.MSTRG.4258.1,3.218042403
mRNA.MSTRG.4255.1,2.872892029
mRNA.MSTRG.4268.1,3.459784086
mRNA.MSTRG.4272.1,7.62716226
mRNA.MSTRG.4277.1,1.623952542
mRNA.MSTRG.4280.2,3.666742017
mRNA.MSTRG.4286.1,3.789871443
mRNA.MSTRG.4300.1,4.08044395
mRNA.MSTRG.4299.1,2.256829384
mRNA.MSTRG.4314.1,1.623946189
mRNA.MSTRG.4317.1,2.492626655
mRNA.MSTRG.4339.1,1.750640151
mRNA.MSTRG.4352.1,2.492624315
mRNA.MSTRG.4364.1,3.789863935
mRNA.MSTRG.4380.1,3.819084533
mRNA.MSTRG.4384.1,6.066323066
mRNA.MSTRG.4387.1,3.173530095
mRNA.MSTRG.4388.1,4.106504829
mRNA.MSTRG.4399.1,5.10773408
mRNA.MSTRG.4428.1,5.165694788
mRNA.MSTRG.4433.1,0.737972551
mRNA.MSTRG.4478.2,1.974831431
mRNA.MSTRG.4481.1,4.585853331
mRNA.MSTRG.4482.1,4.033602848
mRNA.MSTRG.4485.1,0.964019021
mRNA.MSTRG.4495.1,4.863256902
mRNA.MSTRG.4521.1,2.075079288
mRNA.MSTRG.4560.1,7.738361293
mRNA.MSTRG.4563.1,1.485064852
mRNA.MSTRG.4570.1,3.343986686
mRNA.MSTRG.4571.1,4.198289932
mRNA.MSTRG.4572.1,3.95686302
mRNA.MSTRG.4579.1,7.312381701
mRNA.MSTRG.4596.1,3.459776641
mRNA.MSTRG.4608.1,4.284600889
mRNA.MSTRG.4625.1,2.927576082
mRNA.MSTRG.4626.1,1.867083932
mRNA.MSTRG.4630.3,2.961787556
mRNA.MSTRG.4706.1,1.867076783
mRNA.MSTRG.4707.1,5.199441236
mRNA.MSTRG.4711.1,3.903297877
mRNA.MSTRG.4714.1,2.695259887
mRNA.MSTRG.4734.1,5.653129788
mRNA.MSTRG.4749.1,3.9033113
mRNA.MSTRG.4756.1,2.168818288
mRNA.MSTRG.4792.1,1.867096055
mRNA.MSTRG.4799.1,0.140212224
mRNA.MSTRG.4801.1,4.863270132
mRNA.MSTRG.4816.1,0.140207169
mRNA.MSTRG.4818.3,3.819085569
mRNA.MSTRG.4820.1,5.806777064
mRNA.MSTRG.4849.1,2.256855639
mRNA.MSTRG.4860.1,4.635968665
mRNA.MSTRG.4876.4,-0.898822402
mRNA.MSTRG.4876.6,4.204320687
mRNA.MSTRG.4886.2,2.592323982
mRNA.MSTRG.4886.3,4.143365482
mRNA.MSTRG.4878.1,6.291411996
mRNA.MSTRG.4914.1,3.422247171
mRNA.MSTRG.4948.2,6.17199256
mRNA.MSTRG.4946.1,2.339791675
mRNA.MSTRG.4966.1,2.418235446
mRNA.MSTRG.4964.1,4.365991371
mRNA.MSTRG.4970.1,3.303237331
mRNA.MSTRG.4971.1,5.603618975
mRNA.MSTRG.4974.1,2.075090084
mRNA.MSTRG.4977.1,1.159329656
mRNA.MSTRG.4989.1,4.834943168
mRNA.MSTRG.4981.3,2.492622289
mRNA.MSTRG.4981.4,4.551446486
mRNA.MSTRG.5004.2,4.503312408
mRNA.MSTRG.5024.1,5.047325581
mRNA.MSTRG.5031.1,2.168818916
mRNA.MSTRG.5047.1,2.63080828
mRNA.MSTRG.5061.1,2.075072554
mRNA.MSTRG.5082.1,2.563392255
mRNA.MSTRG.5104.2,3.779765063
mRNA.MSTRG.5109.2,5.009784215
mRNA.MSTRG.5117.1,2.873647004
mRNA.MSTRG.5123.1,4.082631373
mRNA.MSTRG.5125.1,1.485070888
mRNA.MSTRG.5134.1,5.543648448
mRNA.MSTRG.5148.1,3.127574802
mRNA.MSTRG.5152.1,4.480099897
mRNA.MSTRG.5180.1,5.508211737
mRNA.MSTRG.5182.1,1.750600843
mRNA.MSTRG.5210.1,2.492618061
mRNA.MSTRG.5220.2,4.602770812
mRNA.MSTRG.5238.1,3.080107286
mRNA.MSTRG.5236.1,2.75692054
mRNA.MSTRG.5259.1,3.601022846
mRNA.MSTRG.5264.1,5.327806421
mRNA.MSTRG.5277.1,4.008482169
mRNA.MSTRG.5280.1,4.305367392
mRNA.MSTRG.5291.1,3.819077772
mRNA.MSTRG.5307.1,4.242068051
mRNA.MSTRG.5317.2,5.275163598
mRNA.MSTRG.5342.1,5.669246042
mRNA.MSTRG.5388.1,1.750622587
mRNA.MSTRG.5396.1,1.306458126
mRNA.MSTRG.5396.2,3.686578442
mRNA.MSTRG.5396.3,3.386196086
mRNA.MSTRG.5399.1,3.903341421
mRNA.MSTRG.5409.1,1.815133832
mRNA.MSTRG.5416.1,5.431240152
mRNA.MSTRG.5416.2,4.411947456
mRNA.MSTRG.5419.1,4.03362056
mRNA.MSTRG.5423.1,6.010458707
mRNA.MSTRG.5435.1,4.849180665
mRNA.MSTRG.5448.1,2.075041103
mRNA.MSTRG.5458.1,5.849916809
mRNA.MSTRG.5466.1,3.339295482
mRNA.MSTRG.5467.1,2.563353214
mRNA.MSTRG.5477.1,4.198284664
mRNA.MSTRG.5493.1,2.263195819
mRNA.MSTRG.5523.1,2.968438342
mRNA.MSTRG.5539.3,2.820725164
mRNA.MSTRG.5549.1,1.331354434
mRNA.MSTRG.5562.1,1.331382504
mRNA.MSTRG.5579.1,5.119532552
mRNA.MSTRG.5581.1,1.159394031
mRNA.MSTRG.5573.1,3.634231518
mRNA.MSTRG.5595.1,2.191204886
mRNA.MSTRG.5595.2,5.478784601
mRNA.MSTRG.5607.1,4.715832933
mRNA.MSTRG.5612.1,5.792178425
mRNA.MSTRG.5622.1,2.256856613
mRNA.MSTRG.5639.1,2.339791447
mRNA.MSTRG.5653.1,3.566967373
mRNA.MSTRG.5664.1,3.17353024
mRNA.MSTRG.5668.1,1.159355335
mRNA.MSTRG.5691.1,1.331382369
mRNA.MSTRG.5697.1,4.220343562
mRNA.MSTRG.5705.1,4.56875316
mRNA.MSTRG.5718.1,4.058370261
mRNA.MSTRG.5721.1,4.36598231
mRNA.MSTRG.5736.1,1.159323666
mRNA.MSTRG.5738.1,0.963983017
mRNA.MSTRG.5753.1,3.031001135
mRNA.MSTRG.5768.1,1.485078217
mRNA.MSTRG.5793.1,2.339802317
mRNA.MSTRG.5824.1,2.256827689
mRNA.MSTRG.5848.1,5.925699152
mRNA.MSTRG.5853.1,4.405055492
mRNA.MSTRG.5863.1,3.847704985
mRNA.MSTRG.5854.1,1.623923315
mRNA.MSTRG.5868.1,3.956856
mRNA.MSTRG.5871.1,4.60274613
mRNA.MSTRG.5875.1,1.8670779
mRNA.MSTRG.5952.3,1.750630079
mRNA.MSTRG.5952.4,3.789884292
mRNA.MSTRG.5951.1,1.974812759
mRNA.MSTRG.5955.1,3.173528993
mRNA.MSTRG.5965.1,0.737954598
mRNA.MSTRG.5966.1,2.630823081
mRNA.MSTRG.5967.1,4.242069677
mRNA.MSTRG.5975.1,5.661193419
mRNA.MSTRG.5982.2,2.075072617
mRNA.MSTRG.5984.1,5.471890817
mRNA.MSTRG.5987.1,4.106522188
mRNA.MSTRG.5989.1,4.325863054
mRNA.MSTRG.5999.1,2.339762995
mRNA.MSTRG.6005.1,3.38357877
mRNA.MSTRG.6007.1,3.903312424
mRNA.MSTRG.6024.1,4.715729772
mRNA.MSTRG.6025.1,4.080525499
mRNA.MSTRG.6027.1,2.87286995
mRNA.MSTRG.6033.1,3.532325319
mRNA.MSTRG.6073.1,1.750661049
mRNA.MSTRG.6078.1,3.459778971
mRNA.MSTRG.6083.1,3.173535491
mRNA.MSTRG.6111.1,5.595170339
mRNA.MSTRG.6119.1,2.418254698
mRNA.MSTRG.6125.1,2.980219722
mRNA.MSTRG.6127.1,5.177059763
mRNA.MSTRG.6129.1,3.303227345
mRNA.MSTRG.6135.2,0.963993401
mRNA.MSTRG.6143.1,4.175881615
mRNA.MSTRG.6150.1,2.563389265
mRNA.MSTRG.6177.1,2.168811715
mRNA.MSTRG.6158.1,2.168823043
mRNA.MSTRG.6161.1,4.636367439
mRNA.MSTRG.6162.3,5.481070314
mRNA.MSTRG.6190.1,2.418228856
mRNA.MSTRG.6202.1,2.168815937
mRNA.MSTRG.6208.1,2.872927915
mRNA.MSTRG.6214.1,3.847706375
mRNA.MSTRG.6219.1,3.031019415
mRNA.MSTRG.6220.1,2.630819699
mRNA.MSTRG.6240.1,3.031024595
mRNA.MSTRG.6244.1,2.492603998
mRNA.MSTRG.6273.2,2.56339096
mRNA.MSTRG.6279.1,4.400533265
mRNA.MSTRG.6290.1,4.533919425
mRNA.MSTRG.6323.1,5.154235528
mRNA.MSTRG.6335.2,4.346066357
mRNA.MSTRG.6338.1,4.305358235
mRNA.MSTRG.6350.2,4.385645991
mRNA.MSTRG.6410.1,1.159345209
mRNA.MSTRG.6399.1,4.891042889
mRNA.MSTRG.6463.1,2.75691203
mRNA.MSTRG.6468.1,5.275161346
mRNA.MSTRG.6477.2,2.630821619
mRNA.MSTRG.6510.1,1.623955948
mRNA.MSTRG.6518.2,1.86708467
mRNA.MSTRG.6519.1,8.566625022
mRNA.MSTRG.6519.2,9.593442933
mRNA.MSTRG.6527.1,3.031022211
mRNA.MSTRG.6529.1,5.131221583
mRNA.MSTRG.6539.1,3.956855988
mRNA.MSTRG.6545.1,1.159340064
mRNA.MSTRG.6547.1,3.080115418
mRNA.MSTRG.6556.1,0.963979537
mRNA.MSTRG.6557.1,1.623973339
mRNA.MSTRG.6558.1,1.623939436
mRNA.MSTRG.6581.1,3.666726862
mRNA.MSTRG.6591.1,1.62396117
mRNA.MSTRG.6603.2,3.532100434
mRNA.MSTRG.6606.1,2.256836967
mRNA.MSTRG.6619.1,6.574386657
mRNA.MSTRG.6621.1,0.469813747
mRNA.MSTRG.6633.1,2.168798368
mRNA.MSTRG.6638.1,2.075084157
mRNA.MSTRG.6640.1,2.492651281
mRNA.MSTRG.6653.1,1.867120484
mRNA.MSTRG.6654.1,3.698534911
mRNA.MSTRG.6668.2,3.218097145
mRNA.MSTRG.6674.1,1.485084859
mRNA.MSTRG.6691.1,4.033597037
mRNA.MSTRG.6696.1,5.04730893
mRNA.MSTRG.6720.1,3.496411928
mRNA.MSTRG.6727.5,0.737968268
mRNA.MSTRG.6758.1,4.551469848
mRNA.MSTRG.6777.1,2.339765056
mRNA.MSTRG.6781.1,4.568743236
mRNA.MSTRG.6805.1,3.08010823
mRNA.MSTRG.6807.1,2.695252421
mRNA.MSTRG.6796.1,1.750630821
mRNA.MSTRG.6797.1,3.875810514
mRNA.MSTRG.6890.1,3.956856051
mRNA.MSTRG.6889.1,2.168791957
mRNA.MSTRG.6916.1,1.485092366
mRNA.MSTRG.6928.2,5.395901005
mRNA.MSTRG.6928.4,1.193318976
mRNA.MSTRG.6929.1,5.490191103
mRNA.MSTRG.6940.1,3.729639364
mRNA.MSTRG.6953.1,2.339790299
mRNA.MSTRG.6982.1,3.303241057
mRNA.MSTRG.6985.1,2.492650342
mRNA.MSTRG.7000.1,3.343962469
mRNA.MSTRG.7029.1,3.566996719
mRNA.MSTRG.7031.1,2.075083825
mRNA.MSTRG.7066.1,3.127572523
mRNA.MSTRG.7065.1,3.071741773
mRNA.MSTRG.7073.1,4.700128447
mRNA.MSTRG.7081.1,2.872883796
mRNA.MSTRG.7082.1,4.746500116
mRNA.MSTRG.7111.1,1.623963623
mRNA.MSTRG.7119.1,4.082602341
mRNA.MSTRG.7122.1,2.56339154
mRNA.MSTRG.7124.1,2.87289116
mRNA.MSTRG.7126.1,2.927557021
mRNA.MSTRG.7140.1,2.630829024
